Date,Close
2017-04-10,35.79
2017-04-11,35.41
2017-04-12,35.45
2017-04-13,35.26
2017-04-17,35.46
2017-04-18,35.3
2017-04-19,35.17
2017-04-20,35.61
2017-04-21,35.57
2017-04-24,35.91
2017-04-25,36.13
2017-04-26,35.92
2017-04-27,35.95
2017-04-28,35.91
2017-05-01,36.65
2017-05-02,36.88
2017-05-03,36.77
2017-05-04,36.63
2017-05-05,37.24
2017-05-08,38.25
2017-05-09,38.5
2017-05-10,38.32
2017-05-11,38.49
2017-05-12,39.03
2017-05-15,38.92
2017-05-16,38.87
2017-05-17,37.56
2017-05-18,38.14
2017-05-19,38.27
2017-05-22,38.5
2017-05-23,38.45
2017-05-24,38.34
2017-05-25,38.47
2017-05-26,38.4
2017-05-30,38.42
2017-05-31,38.19
2017-06-01,38.3
2017-06-02,38.86
2017-06-05,38.48
2017-06-06,38.61
2017-06-07,38.84
2017-06-08,38.75
2017-06-09,37.24
2017-06-12,36.35
2017-06-13,36.65
2017-06-14,36.29
2017-06-15,36.07
2017-06-16,35.57
2017-06-19,36.59
2017-06-20,36.25
2017-06-21,36.47
2017-06-22,36.41
2017-06-23,36.57
2017-06-26,36.46
2017-06-27,35.93
2017-06-28,36.46
2017-06-29,35.92
2017-06-30,36.01
2017-07-03,35.88
2017-07-05,36.02
2017-07-06,35.68
2017-07-07,36.05
2017-07-10,36.27
2017-07-11,36.38
2017-07-12,36.44
2017-07-13,36.94
2017-07-14,37.26
2017-07-17,37.39
2017-07-18,37.52
2017-07-19,37.76
2017-07-20,37.59
2017-07-21,37.57
2017-07-24,38.02
2017-07-25,38.19
2017-07-26,38.37
2017-07-27,37.64
2017-07-28,37.38
2017-07-31,37.18
2017-08-01,37.51
2017-08-02,39.28
2017-08-03,38.89
2017-08-04,39.1
2017-08-07,39.7
2017-08-08,40.02
2017-08-09,40.27
2017-08-10,38.83
2017-08-11,39.37
2017-08-14,39.96
2017-08-15,40.4
2017-08-16,40.24
2017-08-17,39.47
2017-08-18,39.38
2017-08-21,39.3
2017-08-22,39.95
2017-08-23,39.99
2017-08-24,39.82
2017-08-25,39.97
2017-08-28,40.37
2017-08-29,40.73
2017-08-30,40.84
2017-08-31,41
2017-09-01,41.01
2017-09-05,40.52
2017-09-06,40.48
2017-09-07,40.32
2017-09-08,39.66
2017-09-11,40.38
2017-09-12,40.22
2017-09-13,39.91
2017-09-14,39.57
2017-09-15,39.97
2017-09-18,39.67
2017-09-19,39.68
2017-09-20,39.02
2017-09-21,38.35
2017-09-22,37.97
2017-09-25,37.64
2017-09-26,38.28
2017-09-27,38.56
2017-09-28,38.32
2017-09-29,38.53
2017-10-02,38.45
2017-10-03,38.62
2017-10-04,38.37
2017-10-05,38.85
2017-10-06,38.83
2017-10-09,38.96
2017-10-10,38.98
2017-10-11,39.14
2017-10-12,39
2017-10-13,39.25
2017-10-16,39.97
2017-10-17,40.12
2017-10-18,39.94
2017-10-19,38.99
2017-10-20,39.06
2017-10-23,39.04
2017-10-24,39.28
2017-10-25,39.1
2017-10-26,39.35
2017-10-27,40.76
2017-10-30,41.68
2017-10-31,42.26
2017-11-01,41.72
2017-11-02,42.03
2017-11-03,43.13
2017-11-06,43.56
2017-11-07,43.7
2017-11-08,44.06
2017-11-09,43.97
2017-11-10,43.67
2017-11-13,43.49
2017-11-14,42.84
2017-11-15,42.27
2017-11-16,42.78
2017-11-17,42.54
2017-11-20,42.5
2017-11-21,43.29
2017-11-22,43.74
2017-11-24,43.74
2017-11-27,43.52
2017-11-28,43.27
2017-11-29,42.37
2017-11-30,42.96
2017-12-01,42.76
2017-12-04,42.45
2017-12-05,42.41
2017-12-06,42.25
2017-12-07,42.33
2017-12-08,42.34
2017-12-11,43.17
2017-12-12,42.93
2017-12-13,43.07
2017-12-14,43.06
2017-12-15,43.49
2017-12-18,44.11
2017-12-19,43.64
2017-12-20,43.59
2017-12-21,43.75
2017-12-22,43.75
2017-12-26,42.64
2017-12-27,42.65
2017-12-28,42.77
2017-12-29,42.31
2018-01-02,43.07
2018-01-03,43.06
2018-01-04,43.26
2018-01-05,43.75
2018-01-08,43.59
2018-01-09,43.58
2018-01-10,43.57
2018-01-11,43.82
2018-01-12,44.27
2018-01-16,44.05
2018-01-17,44.78
2018-01-18,44.82
2018-01-19,44.62
2018-01-22,44.25
2018-01-23,44.26
2018-01-24,43.56
2018-01-25,42.78
2018-01-26,42.88
2018-01-29,41.99
2018-01-30,41.74
2018-01-31,41.86
2018-02-01,41.95
2018-02-02,40.13
2018-02-05,39.12
2018-02-06,40.76
2018-02-07,39.89
2018-02-08,38.79
2018-02-09,39.1
2018-02-12,40.68
2018-02-13,41.09
2018-02-14,41.84
2018-02-15,43.25
2018-02-16,43.11
2018-02-20,42.96
2018-02-21,42.77
2018-02-22,43.13
2018-02-23,43.88
2018-02-26,44.74
2018-02-27,44.6
2018-02-28,44.53
2018-03-01,43.75
2018-03-02,44.05
2018-03-05,44.21
2018-03-06,44.17
2018-03-07,43.76
2018-03-08,44.24
2018-03-09,45
