Date,Close
2017-04-10,57.95
2017-04-11,57.88
2017-04-12,57.58
2017-04-13,57.51
2017-04-17,58.08
2017-04-18,58.35
2017-04-19,59.04
2017-04-20,60.08
2017-04-21,60.61
2017-04-24,61.11
2017-04-25,60.96
2017-04-26,61.56
2017-04-27,61.3
2017-04-28,60.06
2017-05-01,60.18
2017-05-02,60.5
2017-05-03,60.59
2017-05-04,60.83
2017-05-05,60.95
2017-05-08,60.94
2017-05-09,60.98
2017-05-10,60.66
2017-05-11,60.27
2017-05-12,59.93
2017-05-15,60.45
2017-05-16,59.98
2017-05-17,59.73
2017-05-18,59.82
2017-05-19,61.36
2017-05-22,61.23
2017-05-23,61.15
2017-05-24,61.89
2017-05-25,62.9
2017-05-26,63.3
2017-05-30,63.26
2017-05-31,63.61
2017-06-01,63.75
2017-06-02,64.57
2017-06-05,64.27
2017-06-06,64.16
2017-06-07,63.5
2017-06-08,62.24
2017-06-09,62.19
2017-06-12,61.29
2017-06-13,60.92
2017-06-14,60.27
2017-06-15,60.09
2017-06-16,60.14
2017-06-19,60.9
2017-06-20,59.86
2017-06-21,59.96
2017-06-22,59.51
2017-06-23,59.81
2017-06-26,59.64
2017-06-27,58.96
2017-06-28,59.18
2017-06-29,58.36
2017-06-30,58.31
2017-07-03,58.25
2017-07-05,57.94
2017-07-06,57.6
2017-07-07,58.04
2017-07-10,57.81
2017-07-11,57.9
2017-07-12,58.54
2017-07-13,58.38
2017-07-14,58.76
2017-07-17,58.33
2017-07-18,58.21
2017-07-19,58.11
2017-07-20,58.03
2017-07-21,57.98
2017-07-24,58.02
2017-07-25,58.55
2017-07-26,57.94
2017-07-27,59.5
2017-07-28,54
2017-07-31,53.98
2017-08-01,54.73
2017-08-02,55.43
2017-08-03,55.68
2017-08-04,55.44
2017-08-07,55.63
2017-08-08,54.52
2017-08-09,53.74
2017-08-10,53.07
2017-08-11,53.18
2017-08-14,53.22
2017-08-15,53.15
2017-08-16,53.5
2017-08-17,53.04
2017-08-18,52.7
2017-08-21,53.15
2017-08-22,54.45
2017-08-23,54.08
2017-08-24,53.94
2017-08-25,54.36
2017-08-28,54.4
2017-08-29,54.1
2017-08-30,54.52
2017-08-31,54.86
2017-09-01,54.93
2017-09-05,55.13
2017-09-06,54.31
2017-09-07,53.47
2017-09-08,53.49
2017-09-11,54.02
2017-09-12,53.54
2017-09-13,54.29
2017-09-14,54.53
2017-09-15,54.67
2017-09-18,54.69
